row_index,suffix,modified_count,not_found_count,cu_conf,du_conf
27,row027,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row027.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row027.modified.conf
28,row028,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row028.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row028.modified.conf
29,row029,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row029.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row029.modified.conf
30,row030,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row030.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row030.modified.conf
31,row031,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row031.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row031.modified.conf
32,row032,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row032.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row032.modified.conf
33,row033,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row033.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row033.modified.conf
34,row034,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row034.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row034.modified.conf
35,row035,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row035.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row035.modified.conf
36,row036,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row036.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row036.modified.conf
37,row037,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row037.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row037.modified.conf
